# MAGICC6 RCP4.5,,,,,,,
# TOTAL_INCLVOLCANIC_RF W/m2,,,,,,,
year,value,vtag,units,ctag,type,Scenario,model
1765,0.00E+00,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1766,1.96E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1767,6.16E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1768,3.13E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1769,-1.21E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1770,3.28E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1771,7.06E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1772,6.43E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1773,5.23E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1774,3.90E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1775,3.38E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1776,5.50E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1777,9.16E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1778,1.19E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1779,1.11E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1780,1.07E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1781,9.51E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1782,2.20E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1783,-1.36E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1784,-1.49E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1785,8.68E-03,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1786,1.06E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1787,1.36E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1788,1.23E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1789,-8.59E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1790,-2.01E-01,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1791,-4.76E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1792,4.83E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1793,7.60E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
1794,4.26E-02,Ftot,W/m2,forcing,Simulated,rcp45,MAGICC6
