year,pool_name,pool_value,pool_units,source_name,source_fraction
1746,atmos_c,588.074,Pg C,earth_c,5.1014e-06
1746,atmos_c,588.074,Pg C,atmos_c,0.999995

1746,earth_c,4000,Pg C,atmos_c,0
1746,earth_c,4000,Pg C,earth_c,1

1747,atmos_c,588.077,Pg C,earth_c,1.02027e-05
1747,atmos_c,588.077,Pg C,atmos_c,0.99999

1747,earth_c,3999.99,Pg C,atmos_c,0
1747,earth_c,3999.99,Pg C,earth_c,1

1748,atmos_c,588.08,Pg C,untracked,3.85308e-08
1748,atmos_c,588.08,Pg C,earth_c,1.5304e-05
1748,atmos_c,588.08,Pg C,atmos_c,0.999985

1748,earth_c,3999.99,Pg C,atmos_c,0
1748,earth_c,3999.99,Pg C,earth_c,1

1749,atmos_c,588.083,Pg C,untracked,3.85306e-08
1749,atmos_c,588.083,Pg C,earth_c,2.04053e-05
1749,atmos_c,588.083,Pg C,atmos_c,0.99998

1749,earth_c,3999.99,Pg C,untracked,0
1749,earth_c,3999.99,Pg C,earth_c,1
1749,earth_c,3999.99,Pg C,atmos_c,0

1750,atmos_c,588.085,Pg C,untracked,3.85304e-08
1750,atmos_c,588.085,Pg C,earth_c,2.55065e-05
1750,atmos_c,588.085,Pg C,atmos_c,0.999974

1750,earth_c,3999.99,Pg C,untracked,0
1750,earth_c,3999.99,Pg C,earth_c,1
1750,earth_c,3999.99,Pg C,atmos_c,0

1751,atmos_c,588.088,Pg C,untracked,3.85302e-08
1751,atmos_c,588.088,Pg C,earth_c,3.06076e-05
1751,atmos_c,588.088,Pg C,atmos_c,0.999969

1751,earth_c,3999.98,Pg C,untracked,0
1751,earth_c,3999.98,Pg C,earth_c,1
1751,earth_c,3999.98,Pg C,atmos_c,0

1752,atmos_c,588.091,Pg C,untracked,3.853e-08
1752,atmos_c,588.091,Pg C,earth_c,3.57087e-05
1752,atmos_c,588.091,Pg C,atmos_c,0.999964

1752,earth_c,3999.98,Pg C,untracked,0
1752,earth_c,3999.98,Pg C,earth_c,1
1752,earth_c,3999.98,Pg C,atmos_c,0

1753,atmos_c,588.093,Pg C,untracked,3.85298e-08
1753,atmos_c,588.093,Pg C,earth_c,4.08098e-05
1753,atmos_c,588.093,Pg C,atmos_c,0.999959

1753,earth_c,3999.98,Pg C,untracked,0
1753,earth_c,3999.98,Pg C,earth_c,1
1753,earth_c,3999.98,Pg C,atmos_c,0

1754,atmos_c,588.095,Pg C,untracked,3.85296e-08
1754,atmos_c,588.095,Pg C,earth_c,4.59108e-05
1754,atmos_c,588.095,Pg C,atmos_c,0.999954

1754,earth_c,3999.97,Pg C,untracked,0
